Block,Scenario,UID,Choice situation,alta.universality,alta.income,alta.d_age,alta.f_cont,alta_univer_b,altb.universality,altb.income,altb.d_age,altb.f_cont,altb_univer_b
7,2,72,9,Individual decides whether to pay <br>(either through insurance or one-off payments),What you pay does not depend on your income,"Young people pay less,  <br>and older people (40 or over) pay more",Local Authority <br>(ringfenced for health),Individual doesn't benefit if hasn't paid,Everyone contributes,People pay broadly in proportion to their income,What you pay does not depend on your age,Regional / Devolved Government <br>(ringfenced for health),Everyone gets benefit
7,3,73,14,Everyone contributes ,Those on higher incomes pay at higher rates,What you pay does not depend on your age,UK National Government <br>(not ringfenced),Everyone gets benefit,Everyone contributes,What you pay does not depend on your income,"Young people pay less,  <br>and older people (40 or over) pay more",Regional / Devolved Government <br>(not ringfenced),Everyone gets benefit
7,4,74,16,Everyone contributes,People pay broadly in proportion to their income,What you pay does not depend on your age,Local Authority <br>(ringfenced for health),Everyone gets benefit,Everyone contributes ,Those on higher incomes pay at higher rates,"Young people pay less,  <br>and older people (40 or over) pay more",NHS body,Everyone gets benefit
8,1,81,5,Everyone contributes,People pay broadly in proportion to their income,What you pay does not depend on your age,Commercial Company,Everyone gets benefit,Everyone contributes ,Those on higher incomes pay at higher rates,"Young people pay less,  <br>and older people (40 or over) pay more",NHS body,Everyone gets benefit
8,2,82,8,Everyone contributes,People pay broadly in proportion to their income,"Young people pay less,  <br>and older people (40 or over) pay more",Local Authority <br>(not ringfenced),Everyone gets benefit,Everyone contributes ,Those on higher incomes pay at higher rates,What you pay does not depend on your age,Regional / Devolved Government <br>(ringfenced for health),Everyone gets benefit
8,3,83,26,Everyone contributes ,Those on higher incomes pay at higher rates,"Young people pay less,  <br>and older people (40 or over) pay more",Local Authority <br>(ringfenced for health),Everyone gets benefit,Individual decides whether to pay <br>(either through insurance or one-off payments),What you pay does not depend on your income,What you pay does not depend on your age,UK National Government <br>(ringfenced for health),Individual doesn't benefit if hasn't paid
8,4,84,33,Everyone contributes ,Those on higher incomes pay at higher rates,"Young people pay less,  <br>and older people (40 or over) pay more",Regional / Devolved Government <br>(not ringfenced),Everyone gets benefit,Everyone contributes,What you pay does not depend on your income,What you pay does not depend on your age,Regional / Devolved Government <br>(ringfenced for health),Everyone gets benefit
9,1,91,12,Everyone contributes,People pay broadly in proportion to their income,What you pay does not depend on your age,Regional / Devolved Government <br>(not ringfenced),Everyone gets benefit,Everyone contributes ,Those on higher incomes pay at higher rates,"Young people pay less,  <br>and older people (40 or over) pay more",Commercial Company,Everyone gets benefit
9,2,92,15,Individual decides whether to pay <br>(either through insurance or one-off payments),What you pay does not depend on your income,What you pay does not depend on your age,UK National Government <br>(ringfenced for health),Individual doesn't benefit if hasn't paid,Everyone contributes,People pay broadly in proportion to their income,"Young people pay less,  <br>and older people (40 or over) pay more",Commercial Company,Everyone gets benefit
9,3,93,20,Everyone contributes,What you pay does not depend on your income,What you pay does not depend on your age,Regional / Devolved Government <br>(not ringfenced),Everyone gets benefit,Everyone contributes,People pay broadly in proportion to their income,"Young people pay less,  <br>and older people (40 or over) pay more",Local Authority <br>(ringfenced for health),Everyone gets benefit
9,4,94,21,Everyone contributes,People pay broadly in proportion to their income,"Young people pay less,  <br>and older people (40 or over) pay more",NHS body,Everyone gets benefit,Everyone contributes,What you pay does not depend on your income,What you pay does not depend on your age,Local Authority <br>(not ringfenced),Everyone gets benefit
